year,total_nacimientos,total_defunciones,total_defunciones_fetales,total_matrimonios,total_divorcios,total_violencia_intrafamiliar,crecimiento_total_nacimientos,crecimiento_total_defunciones,crecimiento_total_defunciones_fetales,crecimiento_total_matrimonios,crecimiento_total_divorcios,crecimiento_total_violencia_intrafamiliar,ratio_divorcios_matrimonios,crecimiento_vegetativo,cluster,cluster_social
2008,,,,,,363298859.0,,,,,,,,,2,
2009,350470684.0,54189494.0,42030553.0,1082750771.0,64272856.0,509314030.0,,,,,,40.19147525040809,5.936071136725148,296281190.0,1,2.0
2010,2216449341.0,381314498.0,47887002.0,350642036.0,86163964.0,518101506.0,532.4207536285688,603.6686816082837,13.933790021749171,-67.61562813978361,34.05964720161183,1.7253551801822642,24.573198633834078,1835134843.0,1,1.0
2011,2271881390.0,380333681.0,46272430.0,374842782.0,100568670.0,528140136.0,2.5009391360594213,-0.257219960201982,-3.3716289025569,6.90183820401955,16.7177847110191,1.9375797761143732,26.829560239471277,1891547709.0,1,1.0
2012,2271881390.0,380333681.0,46272430.0,374842782.0,100568670.0,574038538.0,0.0,0.0,0.0,0.0,0.0,8.69057260969084,26.829560239471277,1891547709.0,0,1.0
2013,3105209042.0,329708617.0,10968568.0,224421632.0,22528801.0,587566930.0,36.68006858403818,-13.310697035007003,-76.29567325511108,-40.12913072446464,-77.598589103346,2.356704490108652,10.038604923789164,2775500425.0,0,0.0
2014,2445494254.0,334313410.0,10645859.0,220981891.0,22446942.0,548755845.0,-21.24542274213821,1.3966250084388898,-2.9421251707606677,-1.532713655696083,-0.36335267021090356,-6.605389619187729,10.157819674011206,2111180844.0,1,0.0
2015,3244909128.0,497346338.0,16915578.0,380647341.0,34194663.0,508538716.0,32.68929676250223,48.76649369225123,58.893500280249825,72.25273042848566,52.33550743793964,-7.328783714367548,8.983292227962785,2747562790.0,1,0.0
2016,3235646675.0,529237731.0,18074125.0,335089461.0,33607755.0,495985681.0,-0.2854456822866114,6.412310811063016,6.848994459426683,-11.968527057174427,-1.7163731076981215,-2.4684521758221445,10.029487319507192,2706408944.0,1,0.0
2017,3213781281.0,516683701.0,18128207.0,344642772.0,34059311.0,489258428.0,-0.6757658111728126,-2.3720965578699404,0.29922333722933736,2.8509732808337906,1.343606557474608,-1.3563401641830897,9.882496824857247,2697097580.0,1,0.0
2018,3227793642.0,515221994.0,16597805.0,359949152.0,36338576.0,482586476.0,0.4360085449137907,-0.2829017050801075,-8.442103513050137,4.4412305272428565,6.692046706405774,-1.3636866772584244,10.095474818621048,2712571648.0,1,0.0
2019,3080510916.0,546974469.0,15323194.0,370546469.0,47232969.0,527625694.0,-4.562953594169084,6.162872581095602,-7.679394956140284,2.944115006555159,29.980241933530905,9.332880269110566,12.746840936703139,2533536447.0,1,0.0
2020,2783805844.0,590462560.0,13261368.0,276551947.0,22944931.0,459317218.0,-9.631683837214489,7.950661953108451,-13.455588958803233,-25.366460043099217,-51.42178972488476,-12.946389225692256,8.296788812699988,2193343284.0,1,0.0
2021,2850768979.0,717082038.0,14950073.0,421810178.0,53855479.0,643913759.0,2.405452777690198,21.444116287406946,12.734018089234844,52.52475441801898,134.71623863240208,40.18933620729192,12.767704955663731,2133686941.0,0,0.0
2022,2890976009.0,601045719.3,13445921.3,390187969.0,55676952.0,672767573.0,1.4103924343285001,-16.181735499000194,-10.061166256512589,-7.496786623294804,3.3821498458866284,4.481005972726848,14.26926415560496,2289930289.7,0,0.0
